phylo name ,suborder ,age,specimen,family ,sum radii ,regime ,regime_split,frequency ,PA_echo
Aegyptocetus_tarfa,archaeocete,eocene,Aegytocetus tarfa MSNTUP I-15459,Protocetidae ,0.247285628,regime1,regime1,unknown,band0
Aetiocetus_cotylalveus,mysticete,oligocene,Aetiocetus cotylalveus USNM 25210,Aetiocetidae ,0.193211438,regime2,regime2,unknown,band1
Aetiocetus_weltoni,mysticete,oligocene,Aetiocetus weltoni UCMP 122900,Aetiocetidae ,0.235864773,regime2,regime2,unknown,band1
Aglaocetus_moreni,mysticete,miocene,Aglaocetus moreni FMNH P13407,Aglaocetidae ,0.297551365,regime2,regime2,unknown,band0
Aglaocetus_patulus,mysticete,miocene ,Aglaocetus patulus USNM 23690,Aglaocetidae,0.256396311,regime2,regime2,unknown,band0
Agorophiidae_indet_USNM_205491,odontocete,oligocene,Agorophiid USNM 205491,Agorophiidae,0.241830295,regime3,regime3,unknown,band3
Albertocetus_ChM_PV8680,odontocete,oligocene,Albertocetus ChM PV8680,Xenorophidae,0.39392826,regime3,regime3,unknown,band2
Albireo_whistleri,odontocete,miocene,Albireo whistleri UCR 14589,"	Albireonidae",0.392943645,regime3,regime3,unknown,band3
Ambulocetus_natans,archaeocete,eocene,Ambulocetus natans MSNUP I-16826,Ambulocetidae ,0.266133878,regime1,regime1,unknown,band0
Argyrocetus_joaquinensis,odontocete,miocene,Argyrocetus joaquinensis USNM 11996,Delphinida,0.204673395,regime3,regime3,unknown,band3
Artiocetus_clavis,archaeocete,eocene,Artiocetus clavis GSP-UM 3458,Protocetidae ,0.249274589,regime1,regime1,unknown,band0
Atocetus_iquensis,odontocete,miocene ,Atocetus iquensis MNHN.F.PPI. 113,Kentriodontidae,0.202368444,regime3,regime3,unknown,band3
Aulophyseter_morricei,odontocete,miocene,Aulophyseter UCMP 81661,Physeteridae ,0.488946821,regime4,physeteroidea,unknown,band3
Balaena_mysticetus,mysticete,extant,Balaena mysticetus 1986.1.16,Balaenidae,0.143401732,regime2,regime2,LFM,band0
Balaenoptera_acutorostrata,mysticete,extant,Balaenoptera acutorostrata NHM 1965.11.2.1,Balaenopteridae,0.127780376,regime2,regime2,LFM,band0
Balaenoptera_borealis,mysticete,extant,Balaenoptera borealis NHM 1934.5.25.1,Balaenopteridae,0.119444166,regime2,regime2,LFM,band0
Balaenoptera_brydei,mysticete,extant,Balaenoptera brydei USNM 572922,Balaenopteridae,0.114844379,regime2,regime2,LFM,band0
Balaenoptera_edeni,mysticete,extant,Balaenoptera edeni NHM 1920.12.31.1,Balaenopteridae,0.120416402,regime2,regime2,LFM,band0
Balaenoptera_floridana,mysticete,pliocene,Balaenoptera floridana USNM 529244,Balaenopteridae,0.238299509,regime2,regime2,unknown,band0
Balaenoptera_musculus,mysticete,extant,Balaenoptera musculus NHM 1892.3.1.1,Balaenopteridae,0.184473192,regime2,regime2,LFM,band0
Balaenoptera_omurai,mysticete,extant,Balaenoptera omurai NN,Balaenopteridae,0.123751404,regime2,regime2,LFM,band0
Balaenoptera_physalus,mysticete,extant,Balaenoptera physalus NHM 1862.2.7.181,Balaenopteridae,0.119398325,regime2,regime2,LFM,band0
Balaenoptera_sp,mysticete,pliocene,Balaenoptera colcloughi SDNHM 83695,Balaenopteridae,0.200741565,regime2,regime2,unknown,band0
Balaenopteridae_indet_NMNZ_MM001630,mysticete,miocene,Balaenopteridae NMNZ MM001630,Balaenopteridae,0.300103862,regime2,regime2,unknown,band0
Balaenula_astensis,mysticete,pliocene,Balaenula astensis MSNUP I-12555,Balaenidae,0.248855648,regime2,regime2,unknown,band0
Basilosaurus_isis,archaeocete,eocene,Basilosaurus isis SMNS 11787,Basilosauridae ,0.307642546,regime1,regime1,unknown,band0
Berardius_arnuxii,odontocete,extant,Berardius arnuxii NHM 1935.10.23.1,Ziphiidae ,0.25387186,regime3,regime3,FMbuzz,band3
